Timestamp;shooter_heat17;bullet_num;heat
15000;0;0;0
42000;0;0;0
69000;0;0;0
96000;0;0;0
123000;0;0;0
150000;0;0;0
177000;0;0;0
204000;0;0;0
231000;0;0;0
259000;0;0;0
286000;0;0;0
312000;0;0;0
339000;0;0;0
366000;0;0;0
393000;0;0;0
420000;0;0;0
446000;0;0;0
474000;0;0;0
501000;0;0;0
528000;0;0;0
555000;0;0;0
581000;0;0;0
608000;0;0;0
635000;0;0;0
662000;0;0;0
689000;0;0;0
716000;0;0;0
743000;0;0;0
770000;0;0;0
796000;0;0;0
823000;0;0;0
850000;0;0;0
876000;0;0;0
904000;0;0;0
932000;0;0;0
959000;0;0;0
986000;0;0;0
1013000;0;0;0
1040000;0;0;0
1067000;0;0;0
1093000;0;0;0
1121000;0;0;0
1148000;0;0;0
1174000;0;0;0
1201000;0;0;0
1228000;0;0;0
1255000;0;0;0
1282000;0;0;0
1309000;0;0;0
1336000;0;0;0
1362000;0;0;0
1390000;0;0;0
1417000;0;0;0
1444000;0;0;0
1471000;0;0;0
1499000;0;0;0
1526000;0;0;0
1552000;0;0;0
1579000;0;0;0
1605000;0;0;0
1632000;0;0;0
1659000;0;0;0
1686000;0;0;0
1712000;0;0;0
1740000;0;0;0
1768000;0;0;0
1795000;0;0;0
1822000;0;0;0
1849000;0;0;0
1876000;0;0;0
1903000;0;0;0
1930000;0;0;0
1957000;0;0;0
1985000;0;0;0
2012000;0;0;0
2039000;0;0;0
2066000;0;0;0
2093000;0;0;0
2119000;0;0;0
2146000;0;0;0
2173000;0;0;0
2200000;0;0;0
2227000;0;0;0
2254000;0;0;0
2281000;0;0;0
2308000;0;0;0
2334000;0;0;0
2361000;0;0;0
2388000;0;0;0
2415000;0;0;0
2442000;0;0;0
2469000;0;0;0
2497000;0;0;0
2524000;0;0;0
2551000;0;0;0
2578000;0;0;0
2605000;0;0;0
2632000;0;0;0
2659000;0;0;0
2685000;0;0;0
2712000;0;0;0
2739000;0;0;0
2766000;0;0;0
2794000;0;0;0
2821000;0;0;0
2849000;0;0;0
2876000;0;0;0
2903000;0;0;0
2930000;0;0;0
2957000;0;0;0
2984000;0;0;0
3013000;0;0;0
3039000;0;0;0
3066000;0;0;0
3093000;0;0;0
3120000;0;0;0
3147000;0;0;0
3175000;0;0;0
3202000;0;0;0
3229000;0;0;0
3256000;0;0;0
3283000;0;0;0
3310000;0;0;0
3337000;0;0;0
3364000;0;0;0
3390000;0;0;0
3418000;0;0;0
3445000;0;0;0
3472000;0;0;0
3499000;0;0;0
3526000;0;0;0
3553000;0;0;0
3580000;0;0;0
3607000;0;0;0
3634000;0;0;0
3661000;0;0;0
3688000;0;0;0
3715000;0;0;0
3743000;0;0;0
3769000;0;0;0
3796000;0;0;0
3824000;0;0;0
3851000;0;0;0
3878000;0;0;0
3905000;0;0;0
3932000;0;0;0
3959000;0;0;0
3986000;0;0;0
4013000;0;0;0
4040000;0;0;0
4067000;0;0;0
4094000;0;0;0
4121000;0;0;0
4148000;0;0;0
4175000;0;0;0
4202000;0;0;0
4229000;0;0;0
4256000;0;0;0
4283000;0;0;0
4310000;0;0;0
4337000;0;0;0
4365000;0;0;0
4392000;0;0;0
4418000;0;0;0
4445000;0;0;0
4472000;0;0;0
4499000;0;0;0
4526000;0;0;0
4553000;0;0;0
4580000;0;0;0
4607000;0;0;0
4634000;0;0;0
4661000;0;0;0
4688000;0;0;0
4715000;0;0;0
